experiment_id,category,eval_lang,problem_type,model_type,model,vectorization,dataset_type,dataset_size,use_description,train_lang,f1_averaged,f1_all,hyperparameters,model_parameters,timestamp,vectorization_type,f1
logit_magellan_with_description_1,phone,de-en,pairwise,baseline,logistic-regression,magellan,standard,small,True,en,0.4344137955084391,,"{'C': 8.0, 'class_weight': 'balanced', 'max_iter': 600, 'n_jobs': -2}",,2021-02-22 20:27:24.140304,,
logit_magellan_with_description_1,phone,en,pairwise,baseline,logistic-regression,magellan,standard,small,True,en,0.4397208603129288,,"{'C': 8.0, 'class_weight': 'balanced', 'max_iter': 600, 'n_jobs': -2}",,2021-02-22 20:27:21.900050,,
logit_magellan_with_description_1,phone,es-en,pairwise,baseline,logistic-regression,magellan,standard,small,True,en,0.3634347868002745,,"{'C': 8.0, 'class_weight': 'balanced', 'max_iter': 600, 'n_jobs': -2}",,2021-02-22 20:27:26.859099,,
logit_magellan_with_description_1,phone,fr-en,pairwise,baseline,logistic-regression,magellan,standard,small,True,en,0.3234031484122343,,"{'C': 8.0, 'class_weight': 'balanced', 'max_iter': 600, 'n_jobs': -2}",,2021-02-22 20:27:29.099077,,
logit_magellan_with_description_1,toy,de-en,pairwise,baseline,logistic-regression,magellan,standard,small,True,en,0.7254901960784313,,"{'C': 10.0, 'class_weight': 'balanced', 'max_iter': 600, 'n_jobs': -2}",,2021-02-22 20:26:58.300611,,
logit_magellan_with_description_1,toy,en,pairwise,baseline,logistic-regression,magellan,standard,small,True,en,0.635043033576041,,"{'C': 10.0, 'class_weight': 'balanced', 'max_iter': 600, 'n_jobs': -2}",,2021-02-22 20:26:55.869101,,
logit_magellan_with_description_1,toy,es-en,pairwise,baseline,logistic-regression,magellan,standard,small,True,en,0.6333601523592256,,"{'C': 10.0, 'class_weight': 'balanced', 'max_iter': 600, 'n_jobs': -2}",,2021-02-22 20:27:00.499402,,
logit_magellan_with_description_1,toy,fr-en,pairwise,baseline,logistic-regression,magellan,standard,small,True,en,0.5796450638644517,,"{'C': 10.0, 'class_weight': 'balanced', 'max_iter': 600, 'n_jobs': -2}",,2021-02-22 20:27:03.540429,,
logit_magellan_wo_description_1,phone,de-en,pairwise,baseline,logistic-regression,magellan,standard,small,False,en,0.31993565472080376,,"{'C': 1.0, 'class_weight': 'balanced', 'max_iter': 200, 'n_jobs': -2}",,2021-02-22 20:52:14.988374,,
logit_magellan_wo_description_1,phone,en,pairwise,baseline,logistic-regression,magellan,standard,small,False,en,0.3671995369653295,,"{'C': 1.0, 'class_weight': 'balanced', 'max_iter': 200, 'n_jobs': -2}",,2021-02-22 20:52:14.160886,,
logit_magellan_wo_description_1,phone,es-en,pairwise,baseline,logistic-regression,magellan,standard,small,False,en,0.3986399776389963,,"{'C': 1.0, 'class_weight': 'balanced', 'max_iter': 200, 'n_jobs': -2}",,2021-02-22 20:52:15.830002,,
logit_magellan_wo_description_1,phone,fr-en,pairwise,baseline,logistic-regression,magellan,standard,small,False,en,0.3973119807630573,,"{'C': 1.0, 'class_weight': 'balanced', 'max_iter': 200, 'n_jobs': -2}",,2021-02-22 20:52:16.605749,,
logit_magellan_wo_description_1,toy,de-en,pairwise,baseline,logistic-regression,magellan,standard,small,False,en,0.7399597181046471,,"{'C': 2.666666666666667, 'class_weight': 'balanced', 'max_iter': 200, 'n_jobs': -2}",,2021-02-22 20:52:01.479702,,
logit_magellan_wo_description_1,toy,en,pairwise,baseline,logistic-regression,magellan,standard,small,False,en,0.6460111317254175,,"{'C': 2.666666666666667, 'class_weight': 'balanced', 'max_iter': 200, 'n_jobs': -2}",,2021-02-22 20:52:00.045737,,
logit_magellan_wo_description_1,toy,es-en,pairwise,baseline,logistic-regression,magellan,standard,small,False,en,0.6580222285551439,,"{'C': 2.666666666666667, 'class_weight': 'balanced', 'max_iter': 200, 'n_jobs': -2}",,2021-02-22 20:52:02.889027,,
logit_magellan_wo_description_1,toy,fr-en,pairwise,baseline,logistic-regression,magellan,standard,small,False,en,0.6020410388364335,,"{'C': 2.666666666666667, 'class_weight': 'balanced', 'max_iter': 200, 'n_jobs': -2}",,2021-02-22 20:52:04.397969,,
logit_with_description_1,phone,de-en,pairwise,baseline,random-forest,magellan,standard,small,False,en,0.39446788401755456,,"{'class_weight': 'balanced', 'n_jobs': -1}",,2021-02-22 17:05:43.118791,,
logit_with_description_1,phone,en,pairwise,baseline,random-forest,magellan,standard,small,False,en,0.4277823386636208,,"{'class_weight': 'balanced', 'n_jobs': -1}",,2021-02-22 17:05:42.239534,,
logit_with_description_1,phone,es-en,pairwise,baseline,random-forest,magellan,standard,small,False,en,0.4461592219439753,,"{'class_weight': 'balanced', 'n_jobs': -1}",,2021-02-22 17:05:44.069011,,
logit_with_description_1,phone,fr-en,pairwise,baseline,random-forest,magellan,standard,small,False,en,0.4442216487655182,,"{'class_weight': 'balanced', 'n_jobs': -1}",,2021-02-22 17:05:44.949189,,
logit_with_description_1,toy,de-en,pairwise,baseline,random-forest,magellan,standard,small,False,en,0.7320790664443915,,"{'class_weight': 'balanced', 'n_jobs': -1}",,2021-02-22 17:05:30.772262,,
logit_with_description_1,toy,en,pairwise,baseline,random-forest,magellan,standard,small,False,en,0.6578936455937658,,"{'class_weight': 'balanced', 'n_jobs': -1}",,2021-02-22 17:05:28.727894,,
logit_with_description_1,toy,es-en,pairwise,baseline,random-forest,magellan,standard,small,False,en,0.6849810988659321,,"{'class_weight': 'balanced', 'n_jobs': -1}",,2021-02-22 17:05:32.639096,,
logit_with_description_1,toy,fr-en,pairwise,baseline,random-forest,magellan,standard,small,False,en,0.6279761904761905,,"{'class_weight': 'balanced', 'n_jobs': -1}",,2021-02-22 17:05:34.299180,,
magellan_with_description_1,phone,de-en,pairwise,baseline,magellan,,standard,small,True,en,0.211494253,,"RandomForestClassifier(class_weight='balanced', random_state=0)",,2021-02-18 11:34:21.826999,,
magellan_with_description_1,phone,en,pairwise,baseline,magellan,,standard,small,True,en,0.187341772,,"RandomForestClassifier(class_weight='balanced', random_state=0)",,2021-02-18 11:34:19.366708,,
magellan_with_description_1,phone,es-en,pairwise,baseline,magellan,,standard,small,True,en,0.21194605,,"RandomForestClassifier(class_weight='balanced', random_state=0)",,2021-02-18 11:34:24.342968,,
magellan_with_description_1,phone,fr-en,pairwise,baseline,magellan,,standard,small,True,en,0.21978022,,"RandomForestClassifier(class_weight='balanced', random_state=0)",,2021-02-18 11:34:26.297167,,
magellan_with_description_1,toy,de-en,pairwise,baseline,magellan,,standard,small,True,en,0.5021645020000001,,"RandomForestClassifier(class_weight='balanced', random_state=0)",,2021-02-18 11:33:51.379141,,
magellan_with_description_1,toy,en,pairwise,baseline,magellan,,standard,small,True,en,0.427480916,,"RandomForestClassifier(class_weight='balanced', random_state=0)",,2021-02-18 11:33:48.686908,,
magellan_with_description_1,toy,es-en,pairwise,baseline,magellan,,standard,small,True,en,0.405333333,,"RandomForestClassifier(class_weight='balanced', random_state=0)",,2021-02-18 11:33:54.706211,,
magellan_with_description_1,toy,fr-en,pairwise,baseline,magellan,,standard,small,True,en,0.342733189,,"RandomForestClassifier(class_weight='balanced', random_state=0)",,2021-02-18 11:33:57.367744,,
magellan_without_description_1,phone,de-en,pairwise,baseline,magellan,,standard,small,False,en,0.170418006,,"SVC(class_weight='balanced', random_state=0)",,2021-02-18 11:34:59.736512,,
magellan_without_description_1,phone,en,pairwise,baseline,magellan,,standard,small,False,en,0.144486692,,"SVC(class_weight='balanced', random_state=0)",,2021-02-18 11:34:58.865330,,
magellan_without_description_1,phone,es-en,pairwise,baseline,magellan,,standard,small,False,en,0.185686654,,"SVC(class_weight='balanced', random_state=0)",,2021-02-18 11:35:00.685914,,
magellan_without_description_1,phone,fr-en,pairwise,baseline,magellan,,standard,small,False,en,0.19379845,,"SVC(class_weight='balanced', random_state=0)",,2021-02-18 11:35:01.541452,,
magellan_without_description_1,toy,de-en,pairwise,baseline,magellan,,standard,small,False,en,0.526315789,,"RandomForestClassifier(class_weight='balanced', random_state=0)",,2021-02-18 11:34:43.317779,,
magellan_without_description_1,toy,en,pairwise,baseline,magellan,,standard,small,False,en,0.441767068,,"RandomForestClassifier(class_weight='balanced', random_state=0)",,2021-02-18 11:34:42.050614,,
magellan_without_description_1,toy,es-en,pairwise,baseline,magellan,,standard,small,False,en,0.481099656,,"RandomForestClassifier(class_weight='balanced', random_state=0)",,2021-02-18 11:34:44.491053,,
magellan_without_description_1,toy,fr-en,pairwise,baseline,magellan,,standard,small,False,en,0.410876133,,"RandomForestClassifier(class_weight='balanced', random_state=0)",,2021-02-18 11:34:45.810165,,
rf_magellan_with_description_1,phone,de-en,pairwise,baseline,random-forest,magellan,standard,small,True,en,0.4388979181177928,,"{'class_weight': 'balanced', 'n_jobs': -1}",,2021-02-22 20:28:19.086607,,
rf_magellan_with_description_1,phone,en,pairwise,baseline,random-forest,magellan,standard,small,True,en,0.44661660357061583,,"{'class_weight': 'balanced', 'n_jobs': -1}",,2021-02-22 20:28:16.466533,,
rf_magellan_with_description_1,phone,es-en,pairwise,baseline,random-forest,magellan,standard,small,True,en,0.3897764768389539,,"{'class_weight': 'balanced', 'n_jobs': -1}",,2021-02-22 20:28:23.136086,,
rf_magellan_with_description_1,phone,fr-en,pairwise,baseline,random-forest,magellan,standard,small,True,en,0.3770334928229665,,"{'class_weight': 'balanced', 'n_jobs': -1}",,2021-02-22 20:28:26.506436,,
rf_magellan_with_description_1,toy,de-en,pairwise,baseline,random-forest,magellan,standard,small,True,en,0.7129172015947915,,"{'class_weight': 'balanced', 'n_jobs': -1}",,2021-02-22 20:27:50.816330,,
rf_magellan_with_description_1,toy,en,pairwise,baseline,random-forest,magellan,standard,small,True,en,0.6587505213533702,,"{'class_weight': 'balanced', 'n_jobs': -1}",,2021-02-22 20:27:47.496039,,
rf_magellan_with_description_1,toy,es-en,pairwise,baseline,random-forest,magellan,standard,small,True,en,0.599602880986054,,"{'class_weight': 'balanced', 'n_jobs': -1}",,2021-02-22 20:27:54.156387,,
rf_magellan_with_description_1,toy,fr-en,pairwise,baseline,random-forest,magellan,standard,small,True,en,0.5349482962718616,,"{'class_weight': 'balanced', 'n_jobs': -1}",,2021-02-22 20:27:56.716534,,
rf_magellan_wo_description_1,phone,de-en,pairwise,baseline,random-forest,magellan,standard,small,False,en,0.3951817199216375,,"{'class_weight': 'balanced', 'n_jobs': -1}",,2021-02-22 20:51:45.398727,,
rf_magellan_wo_description_1,phone,en,pairwise,baseline,random-forest,magellan,standard,small,False,en,0.4278752266703864,,"{'class_weight': 'balanced', 'n_jobs': -1}",,2021-02-22 20:51:44.049883,,
rf_magellan_wo_description_1,phone,es-en,pairwise,baseline,random-forest,magellan,standard,small,False,en,0.44106646607743577,,"{'class_weight': 'balanced', 'n_jobs': -1}",,2021-02-22 20:51:46.475208,,
rf_magellan_wo_description_1,phone,fr-en,pairwise,baseline,random-forest,magellan,standard,small,False,en,0.4509276145051554,,"{'class_weight': 'balanced', 'n_jobs': -1}",,2021-02-22 20:51:47.346722,,
rf_magellan_wo_description_1,toy,de-en,pairwise,baseline,random-forest,magellan,standard,small,False,en,0.7308244462674324,,"{'class_weight': 'balanced', 'n_jobs': -1}",,2021-02-22 20:51:28.353626,,
rf_magellan_wo_description_1,toy,en,pairwise,baseline,random-forest,magellan,standard,small,False,en,0.6470543345543345,,"{'class_weight': 'balanced', 'n_jobs': -1}",,2021-02-22 20:51:26.809727,,
rf_magellan_wo_description_1,toy,es-en,pairwise,baseline,random-forest,magellan,standard,small,False,en,0.6803032223131069,,"{'class_weight': 'balanced', 'n_jobs': -1}",,2021-02-22 20:51:30.065315,,
rf_magellan_wo_description_1,toy,fr-en,pairwise,baseline,random-forest,magellan,standard,small,False,en,0.6203852473271227,,"{'class_weight': 'balanced', 'n_jobs': -1}",,2021-02-22 20:51:32.845716,,
svm_magellan_with_description_1,phone,de-en,pairwise,baseline,logistic-regression,magellan,standard,small,True,en,0.4344137955084391,,"{'C': 8.0, 'class_weight': 'balanced', 'max_iter': 600, 'n_jobs': -2}",,2021-02-23 10:11:30.133422,,
svm_magellan_with_description_1,phone,en,pairwise,baseline,logistic-regression,magellan,standard,small,True,en,0.4397208603129288,,"{'C': 8.0, 'class_weight': 'balanced', 'max_iter': 600, 'n_jobs': -2}",,2021-02-23 10:11:27.693419,,
svm_magellan_with_description_1,phone,es-en,pairwise,baseline,logistic-regression,magellan,standard,small,True,en,0.3634347868002745,,"{'C': 8.0, 'class_weight': 'balanced', 'max_iter': 600, 'n_jobs': -2}",,2021-02-23 10:11:33.075667,,
svm_magellan_with_description_1,phone,fr-en,pairwise,baseline,logistic-regression,magellan,standard,small,True,en,0.3234031484122343,,"{'C': 8.0, 'class_weight': 'balanced', 'max_iter': 600, 'n_jobs': -2}",,2021-02-23 10:11:35.431510,,
svm_magellan_with_description_1,toy,de-en,pairwise,baseline,logistic-regression,magellan,standard,small,True,en,0.7254901960784313,,"{'C': 10.0, 'class_weight': 'balanced', 'max_iter': 600, 'n_jobs': -2}",,2021-02-23 10:11:03.145343,,
svm_magellan_with_description_1,toy,en,pairwise,baseline,logistic-regression,magellan,standard,small,True,en,0.635043033576041,,"{'C': 10.0, 'class_weight': 'balanced', 'max_iter': 600, 'n_jobs': -2}",,2021-02-23 10:11:00.459358,,
svm_magellan_with_description_1,toy,es-en,pairwise,baseline,logistic-regression,magellan,standard,small,True,en,0.6333601523592256,,"{'C': 10.0, 'class_weight': 'balanced', 'max_iter': 600, 'n_jobs': -2}",,2021-02-23 10:11:05.746999,,
svm_magellan_with_description_1,toy,fr-en,pairwise,baseline,logistic-regression,magellan,standard,small,True,en,0.5796450638644517,,"{'C': 10.0, 'class_weight': 'balanced', 'max_iter': 600, 'n_jobs': -2}",,2021-02-23 10:11:08.552607,,
svm_magellan_wo_description_1,phone,de-en,pairwise,baseline,svm,magellan,standard,small,False,en,0.3208992544098927,,"{'C': 1.0, 'class_weight': 'balanced', 'max_iter': 500000}",,2021-02-22 21:11:53.313655,,
svm_magellan_wo_description_1,phone,en,pairwise,baseline,svm,magellan,standard,small,False,en,0.3677314509166624,,"{'C': 1.0, 'class_weight': 'balanced', 'max_iter': 500000}",,2021-02-22 21:11:52.548959,,
svm_magellan_wo_description_1,phone,es-en,pairwise,baseline,svm,magellan,standard,small,False,en,0.3972214780512073,,"{'C': 1.0, 'class_weight': 'balanced', 'max_iter': 500000}",,2021-02-22 21:11:54.166710,,
svm_magellan_wo_description_1,phone,fr-en,pairwise,baseline,svm,magellan,standard,small,False,en,0.3976893453145057,,"{'C': 1.0, 'class_weight': 'balanced', 'max_iter': 500000}",,2021-02-22 21:11:54.927584,,
svm_magellan_wo_description_1,toy,de-en,pairwise,baseline,svm,magellan,standard,small,False,en,0.7458033199449923,,"{'C': 3.2222222222222223, 'class_weight': 'balanced', 'max_iter': 500000}",,2021-02-22 21:11:43.129182,,
svm_magellan_wo_description_1,toy,en,pairwise,baseline,svm,magellan,standard,small,False,en,0.6618369261890544,,"{'C': 3.2222222222222223, 'class_weight': 'balanced', 'max_iter': 500000}",,2021-02-22 21:11:41.643876,,
svm_magellan_wo_description_1,toy,es-en,pairwise,baseline,svm,magellan,standard,small,False,en,0.6617652550333064,,"{'C': 3.2222222222222223, 'class_weight': 'balanced', 'max_iter': 500000}",,2021-02-22 21:11:44.510635,,
svm_magellan_wo_description_1,toy,fr-en,pairwise,baseline,svm,magellan,standard,small,False,en,0.6080693347531577,,"{'C': 3.2222222222222223, 'class_weight': 'balanced', 'max_iter': 500000}",,2021-02-22 21:11:46.059917,,
svm_with_description_1,phone,de-en,pairwise,baseline,logistic-regression,cooc,standard,small,True,en,0.6026092383049371,,"{'C': 7.0, 'class_weight': 'balanced', 'max_iter': 600, 'n_jobs': -2}",,2021-02-23 10:30:11.424629,,
svm_with_description_1,phone,en,pairwise,baseline,logistic-regression,cooc,standard,small,True,en,0.6291046539097567,,"{'C': 7.0, 'class_weight': 'balanced', 'max_iter': 600, 'n_jobs': -2}",,2021-02-23 10:30:10.964225,,
svm_with_description_1,phone,es-en,pairwise,baseline,logistic-regression,cooc,standard,small,True,en,0.4382682507746758,,"{'C': 7.0, 'class_weight': 'balanced', 'max_iter': 600, 'n_jobs': -2}",,2021-02-23 10:30:12.082999,,
svm_with_description_1,phone,fr-en,pairwise,baseline,logistic-regression,cooc,standard,small,True,en,0.5382590980793164,,"{'C': 7.0, 'class_weight': 'balanced', 'max_iter': 600, 'n_jobs': -2}",,2021-02-23 10:30:12.594337,,
svm_with_description_1,toy,de-en,pairwise,baseline,logistic-regression,cooc,standard,small,True,en,0.6498303076305594,,"{'C': 8.0, 'class_weight': 'balanced', 'max_iter': 600, 'n_jobs': -2}",,2021-02-23 10:18:41.965732,,
svm_with_description_1,toy,en,pairwise,baseline,logistic-regression,cooc,standard,small,True,en,0.7903094228625923,,"{'C': 8.0, 'class_weight': 'balanced', 'max_iter': 600, 'n_jobs': -2}",,2021-02-23 10:18:41.687505,,
svm_with_description_1,toy,es-en,pairwise,baseline,logistic-regression,cooc,standard,small,True,en,0.4226539589442816,,"{'C': 8.0, 'class_weight': 'balanced', 'max_iter': 600, 'n_jobs': -2}",,2021-02-23 10:18:42.268096,,
svm_with_description_1,toy,fr-en,pairwise,baseline,logistic-regression,cooc,standard,small,True,en,0.4603637678994095,,"{'C': 8.0, 'class_weight': 'balanced', 'max_iter': 600, 'n_jobs': -2}",,2021-02-23 10:18:42.612146,,
