experiment_id,category,eval_lang,problem_type,model_type,vectorization,model,dataset_size,use_description,train_lang,f1_averaged,f1_all,hyperparameters,model_parameters,timestamp,dataset_type
phone_multiclass_svm__binary_title_en-de,phone,de,multiclass,baseline,binary,svm,,False,en-de,0.6902604399464665,,"{'class_weight': 'balanced', 'C': 1}",,22-03-2021 19-14-31,
phone_multiclass_svm__binary_title_en-de+de,phone,de,multiclass,baseline,binary,svm,,False,"en-de, de",0.8206473311100779,,"{'class_weight': 'balanced', 'C': 1}",,22-03-2021 19-26-26,
phone_multiclass_svm__binary_title_en-es,phone,es,multiclass,baseline,binary,svm,,False,en-es,0.701644816071087,,"{'class_weight': 'balanced', 'C': 1}",,22-03-2021 19-18-37,
phone_multiclass_svm__binary_title_en-fr,phone,fr,multiclass,baseline,binary,svm,,False,en-fr,0.6232306293829847,,"{'class_weight': 'balanced', 'C': 1}",,22-03-2021 19-21-32,
phone_multiclass_svm__tf-idf_title_en-de,phone,de,multiclass,baseline,tf-idf,svm,,False,en-de,0.6102678977041034,,"{'class_weight': 'balanced', 'C': 10}",,22-03-2021 19-28-24,
phone_multiclass_svm__tf-idf_title_en-de+de,phone,de,multiclass,baseline,tf-idf,svm,,False,"en-de, de",0.7467933190426305,,"{'class_weight': 'balanced', 'C': 10}",,22-03-2021 19-35-10,
phone_multiclass_svm__tf-idf_title_en-es,phone,es,multiclass,baseline,tf-idf,svm,,False,en-es,0.6810627928455837,,"{'class_weight': 'balanced', 'C': 10}",,22-03-2021 19-30-20,
phone_multiclass_svm__tf-idf_title_en-fr,phone,fr,multiclass,baseline,tf-idf,svm,,False,en-fr,0.5525092576799704,,"{'class_weight': 'balanced', 'C': 10}",,22-03-2021 19-32-01,
phone_pairwise_svm_large_cooc_all_de,phone,de,pairwise,baseline,cooc,svm,large,True,de,0.7580951947431225,,"{'class_weight': 'balanced', 'C': 0.1}",,22-03-2021 20-08-12,
phone_pairwise_svm_large_cooc_all_en,phone,de,pairwise,baseline,cooc,svm,large,True,en,0.564625850340136,,"{'class_weight': 'balanced', 'C': 1}",,22-03-2021 20-07-37,
phone_pairwise_svm_large_cooc_all_en,phone,en,pairwise,baseline,cooc,svm,large,True,en,0.7823544368166793,,"{'class_weight': 'balanced', 'C': 1}",,22-03-2021 20-07-36,
phone_pairwise_svm_large_cooc_all_en,phone,es,pairwise,baseline,cooc,svm,large,True,en,0.5627502218265088,,"{'class_weight': 'balanced', 'C': 1}",,22-03-2021 20-07-38,
phone_pairwise_svm_large_cooc_all_en,phone,fr,pairwise,baseline,cooc,svm,large,True,en,0.40877210416117976,,"{'class_weight': 'balanced', 'C': 1}",,22-03-2021 20-07-39,
phone_pairwise_svm_large_cooc_all_en-de,phone,de,pairwise,baseline,cooc,svm,large,True,en-de,0.6856585286621617,,"{'class_weight': 'balanced', 'C': 0.1}",,22-03-2021 20-09-14,
phone_pairwise_svm_large_cooc_all_en-de+de,phone,de,pairwise,baseline,cooc,svm,large,True,"en-de, de",0.759189302632368,,"{'class_weight': 'balanced', 'C': 0.1}",,22-03-2021 20-13-20,
phone_pairwise_svm_large_cooc_all_en-es,phone,es,pairwise,baseline,cooc,svm,large,True,en-es,0.5656567950581395,,"{'class_weight': 'balanced', 'C': 0.1}",,22-03-2021 20-10-22,
phone_pairwise_svm_large_cooc_all_en-fr,phone,fr,pairwise,baseline,cooc,svm,large,True,en-fr,0.4428197608246045,,"{'class_weight': 'balanced', 'C': 0.1}",,22-03-2021 20-11-28,
phone_pairwise_svm_large_cooc_title_en-de,phone,de,pairwise,baseline,cooc,svm,large,False,en-de,0.5873763870188959,,"{'class_weight': 'balanced', 'C': 0.1}",,22-03-2021 20-24-00,
phone_pairwise_svm_large_cooc_title_en-de+de,phone,de,pairwise,baseline,cooc,svm,large,False,"en-de, de",0.6344233590459514,,"{'class_weight': 'balanced', 'C': 0.1}",,22-03-2021 20-25-48,
phone_pairwise_svm_large_cooc_title_en-es,phone,es,pairwise,baseline,cooc,svm,large,False,en-es,0.5008876829799349,,"{'class_weight': 'balanced', 'C': 10}",,22-03-2021 20-24-29,
phone_pairwise_svm_large_cooc_title_en-fr,phone,fr,pairwise,baseline,cooc,svm,large,False,en-fr,0.4474689201267572,,"{'class_weight': 'balanced', 'C': 0.1}",,22-03-2021 20-24-59,
phone_pairwise_svm_large_magellan_all_de,phone,de,pairwise,baseline,magellan,svm,large,True,de,0.6635948688810202,,"{'class_weight': 'balanced', 'C': 10}",,22-03-2021 20-17-33,
phone_pairwise_svm_large_magellan_all_en,phone,de,pairwise,baseline,magellan,svm,large,True,en,0.6643965732533048,,"{'class_weight': 'balanced', 'C': 10}",,22-03-2021 20-16-59,
phone_pairwise_svm_large_magellan_all_en,phone,en,pairwise,baseline,magellan,svm,large,True,en,0.6194802602852277,,"{'class_weight': 'balanced', 'C': 10}",,22-03-2021 20-16-56,
phone_pairwise_svm_large_magellan_all_en,phone,es,pairwise,baseline,magellan,svm,large,True,en,0.6095220963002937,,"{'class_weight': 'balanced', 'C': 10}",,22-03-2021 20-17-02,
phone_pairwise_svm_large_magellan_all_en,phone,fr,pairwise,baseline,magellan,svm,large,True,en,0.5704168025392289,,"{'class_weight': 'balanced', 'C': 10}",,22-03-2021 20-17-05,
phone_pairwise_svm_large_magellan_all_en-de,phone,de,pairwise,baseline,magellan,svm,large,True,en-de,0.669631988013859,,"{'class_weight': 'balanced', 'C': 10}",,22-03-2021 20-18-12,
phone_pairwise_svm_large_magellan_all_en-de+de,phone,de,pairwise,baseline,magellan,svm,large,True,"en-de, de",0.64469398721337,,"{'class_weight': 'balanced', 'C': 100}",,22-03-2021 20-20-34,
phone_pairwise_svm_large_magellan_all_en-es,phone,es,pairwise,baseline,magellan,svm,large,True,en-es,0.6067469487746409,,"{'class_weight': 'balanced', 'C': 10}",,22-03-2021 20-18-54,
phone_pairwise_svm_large_magellan_all_en-fr,phone,fr,pairwise,baseline,magellan,svm,large,True,en-fr,0.5709259418175576,,"{'class_weight': 'balanced', 'C': 10}",,22-03-2021 20-19-36,
phone_pairwise_svm_large_magellan_title_de,phone,de,pairwise,baseline,magellan,svm,large,False,de,0.5294468637544854,,"{'class_weight': 'balanced', 'C': 0.001}",,22-03-2021 20-28-31,
phone_pairwise_svm_large_magellan_title_en,phone,de,pairwise,baseline,magellan,svm,large,False,en,0.5409617111495083,,"{'class_weight': 'balanced', 'C': 0.01}",,22-03-2021 20-28-11,
phone_pairwise_svm_large_magellan_title_en,phone,en,pairwise,baseline,magellan,svm,large,False,en,0.5589700363133162,,"{'class_weight': 'balanced', 'C': 0.01}",,22-03-2021 20-28-10,
phone_pairwise_svm_large_magellan_title_en,phone,es,pairwise,baseline,magellan,svm,large,False,en,0.5907371424816724,,"{'class_weight': 'balanced', 'C': 0.01}",,22-03-2021 20-28-12,
phone_pairwise_svm_large_magellan_title_en,phone,fr,pairwise,baseline,magellan,svm,large,False,en,0.5951417004048583,,"{'class_weight': 'balanced', 'C': 0.01}",,22-03-2021 20-28-13,
phone_pairwise_svm_large_magellan_title_en-de,phone,de,pairwise,baseline,magellan,svm,large,False,en-de,0.5431110642281676,,"{'class_weight': 'balanced', 'C': 0.01}",,22-03-2021 20-29-02,
phone_pairwise_svm_large_magellan_title_en-de+de,phone,de,pairwise,baseline,magellan,svm,large,False,"en-de, de",0.5378187480772105,,"{'class_weight': 'balanced', 'C': 0.001}",,22-03-2021 20-30-29,
phone_pairwise_svm_large_magellan_title_en-es,phone,es,pairwise,baseline,magellan,svm,large,False,en-es,0.5771417052707999,,"{'class_weight': 'balanced', 'C': 0.01}",,22-03-2021 20-29-24,
phone_pairwise_svm_large_magellan_title_en-fr,phone,fr,pairwise,baseline,magellan,svm,large,False,en-fr,0.589363715050625,,"{'class_weight': 'balanced', 'C': 0.01}",,22-03-2021 20-29-47,
phone_pairwise_svm_small_cooc_all_de,phone,de,pairwise,baseline,cooc,svm,small,True,de,0.7304301611392066,,"{'class_weight': 'balanced', 'C': 0.1}",,22-03-2021 20-03-57,
phone_pairwise_svm_small_cooc_all_en,phone,de,pairwise,baseline,cooc,svm,small,True,en,0.5200934331369115,,"{'class_weight': 'balanced', 'C': 0.1}",,22-03-2021 20-03-36,
phone_pairwise_svm_small_cooc_all_en,phone,en,pairwise,baseline,cooc,svm,small,True,en,0.7571369920838225,,"{'class_weight': 'balanced', 'C': 0.1}",,22-03-2021 20-03-35,
phone_pairwise_svm_small_cooc_all_en,phone,es,pairwise,baseline,cooc,svm,small,True,en,0.5612285901038199,,"{'class_weight': 'balanced', 'C': 0.1}",,22-03-2021 20-03-37,
phone_pairwise_svm_small_cooc_all_en,phone,fr,pairwise,baseline,cooc,svm,small,True,en,0.4734126672573717,,"{'class_weight': 'balanced', 'C': 0.1}",,22-03-2021 20-03-37,
phone_pairwise_svm_small_cooc_all_en-de,phone,de,pairwise,baseline,cooc,svm,small,True,en-de,0.5775333511051356,,"{'class_weight': 'balanced', 'C': 0.1}",,22-03-2021 20-04-28,
phone_pairwise_svm_small_cooc_all_en-de+de,phone,de,pairwise,baseline,cooc,svm,small,True,"en-de, de",0.7297447877390139,,"{'class_weight': 'balanced', 'C': 0.1}",,22-03-2021 20-06-27,
phone_pairwise_svm_small_cooc_all_en-es,phone,es,pairwise,baseline,cooc,svm,small,True,en-es,0.4790095048011824,,"{'class_weight': 'balanced', 'C': 0.1}",,22-03-2021 20-05-04,
phone_pairwise_svm_small_cooc_all_en-fr,phone,fr,pairwise,baseline,cooc,svm,small,True,en-fr,0.4373067314243785,,"{'class_weight': 'balanced', 'C': 0.1}",,22-03-2021 20-05-37,
phone_pairwise_svm_small_cooc_title_en-de,phone,de,pairwise,baseline,cooc,svm,small,False,en-de,0.5485458457644998,,"{'class_weight': 'balanced', 'C': 0.1}",,22-03-2021 20-22-38,
phone_pairwise_svm_small_cooc_title_en-de+de,phone,de,pairwise,baseline,cooc,svm,small,False,"en-de, de",0.6295414252070599,,"{'class_weight': 'balanced', 'C': 0.1}",,22-03-2021 20-23-30,
phone_pairwise_svm_small_cooc_title_en-es,phone,es,pairwise,baseline,cooc,svm,small,False,en-es,0.4213712721551972,,"{'class_weight': 'balanced', 'C': 0.01}",,22-03-2021 20-22-53,
phone_pairwise_svm_small_cooc_title_en-fr,phone,fr,pairwise,baseline,cooc,svm,small,False,en-fr,0.4405501118274461,,"{'class_weight': 'balanced', 'C': 0.1}",,22-03-2021 20-23-07,
phone_pairwise_svm_small_magellan_all_de,phone,de,pairwise,baseline,magellan,svm,small,True,de,0.6574221873194993,,"{'class_weight': 'balanced', 'C': 10}",,22-03-2021 20-14-20,
phone_pairwise_svm_small_magellan_all_en,phone,de,pairwise,baseline,magellan,svm,small,True,en,0.6635548955877925,,"{'class_weight': 'balanced', 'C': 10}",,22-03-2021 20-13-56,
phone_pairwise_svm_small_magellan_all_en,phone,en,pairwise,baseline,magellan,svm,small,True,en,0.6236818906614067,,"{'class_weight': 'balanced', 'C': 10}",,22-03-2021 20-13-53,
phone_pairwise_svm_small_magellan_all_en,phone,es,pairwise,baseline,magellan,svm,small,True,en,0.6110397946084725,,"{'class_weight': 'balanced', 'C': 10}",,22-03-2021 20-13-59,
phone_pairwise_svm_small_magellan_all_en,phone,fr,pairwise,baseline,magellan,svm,small,True,en,0.5661382122966072,,"{'class_weight': 'balanced', 'C': 10}",,22-03-2021 20-14-02,
phone_pairwise_svm_small_magellan_all_en-de,phone,de,pairwise,baseline,magellan,svm,small,True,en-de,0.6681103739967112,,"{'class_weight': 'balanced', 'C': 10}",,22-03-2021 20-14-44,
phone_pairwise_svm_small_magellan_all_en-de+de,phone,de,pairwise,baseline,magellan,svm,small,True,"en-de, de",0.6696205992871849,,"{'class_weight': 'balanced', 'C': 10}",,22-03-2021 20-16-08,
phone_pairwise_svm_small_magellan_all_en-es,phone,es,pairwise,baseline,magellan,svm,small,True,en-es,0.6053902873124841,,"{'class_weight': 'balanced', 'C': 10}",,22-03-2021 20-15-09,
phone_pairwise_svm_small_magellan_all_en-fr,phone,fr,pairwise,baseline,magellan,svm,small,True,en-fr,0.5699438537809103,,"{'class_weight': 'balanced', 'C': 1}",,22-03-2021 20-15-34,
phone_pairwise_svm_small_magellan_title_de,phone,de,pairwise,baseline,magellan,svm,small,False,de,0.5366115196078431,,"{'class_weight': 'balanced', 'C': 100}",,22-03-2021 20-26-27,
phone_pairwise_svm_small_magellan_title_en,phone,de,pairwise,baseline,magellan,svm,small,False,en,0.5385192235585936,,"{'class_weight': 'balanced', 'C': 0.01}",,22-03-2021 20-26-13,
phone_pairwise_svm_small_magellan_title_en,phone,en,pairwise,baseline,magellan,svm,small,False,en,0.5591480236440235,,"{'class_weight': 'balanced', 'C': 0.01}",,22-03-2021 20-26-12,
phone_pairwise_svm_small_magellan_title_en,phone,es,pairwise,baseline,magellan,svm,small,False,en,0.5903938951857256,,"{'class_weight': 'balanced', 'C': 0.01}",,22-03-2021 20-26-14,
phone_pairwise_svm_small_magellan_title_en,phone,fr,pairwise,baseline,magellan,svm,small,False,en,0.5952495073760451,,"{'class_weight': 'balanced', 'C': 0.01}",,22-03-2021 20-26-15,
phone_pairwise_svm_small_magellan_title_en-de,phone,de,pairwise,baseline,magellan,svm,small,False,en-de,0.5431110642281676,,"{'class_weight': 'balanced', 'C': 0.001}",,22-03-2021 20-26-44,
phone_pairwise_svm_small_magellan_title_en-de+de,phone,de,pairwise,baseline,magellan,svm,small,False,"en-de, de",0.5384615384615384,,"{'class_weight': 'balanced', 'C': 0.01}",,22-03-2021 20-27-35,
phone_pairwise_svm_small_magellan_title_en-es,phone,es,pairwise,baseline,magellan,svm,small,False,en-es,0.5763926393695371,,"{'class_weight': 'balanced', 'C': 0.01}",,22-03-2021 20-26-58,
phone_pairwise_svm_small_magellan_title_en-fr,phone,fr,pairwise,baseline,magellan,svm,small,False,en-fr,0.5898587933247754,,"{'class_weight': 'balanced', 'C': 0.01}",,22-03-2021 20-27-12,
toy_multiclass_svm__binary_title_en-de,toy,de,multiclass,baseline,binary,svm,,False,en-de,0.6109699419616038,,"{'class_weight': 'balanced', 'C': 1}",,22-03-2021 19-12-47,
toy_multiclass_svm__binary_title_en-de+de,toy,de,multiclass,baseline,binary,svm,,False,"en-de, de",0.9512737718636102,,"{'class_weight': 'balanced', 'C': 1}",,22-03-2021 19-24-25,
toy_multiclass_svm__binary_title_en-es,toy,es,multiclass,baseline,binary,svm,,False,en-es,0.5929015782337845,,"{'class_weight': 'balanced', 'C': 1}",,22-03-2021 19-16-43,
toy_multiclass_svm__binary_title_en-fr,toy,fr,multiclass,baseline,binary,svm,,False,en-fr,0.5965945518297636,,"{'class_weight': 'balanced', 'C': 10}",,22-03-2021 19-20-13,
toy_multiclass_svm__tf-idf_title_en-de,toy,de,multiclass,baseline,tf-idf,svm,,False,en-de,0.6589169211460169,,"{'class_weight': 'balanced', 'C': 100}",,22-03-2021 19-27-23,
toy_multiclass_svm__tf-idf_title_en-de+de,toy,de,multiclass,baseline,tf-idf,svm,,False,"en-de, de",0.9532905894289044,,"{'class_weight': 'balanced', 'C': 100}",,22-03-2021 19-33-40,
toy_multiclass_svm__tf-idf_title_en-es,toy,es,multiclass,baseline,tf-idf,svm,,False,en-es,0.6548539441215834,,"{'class_weight': 'balanced', 'C': 10}",,22-03-2021 19-29-34,
toy_multiclass_svm__tf-idf_title_en-fr,toy,fr,multiclass,baseline,tf-idf,svm,,False,en-fr,0.6597170720969254,,"{'class_weight': 'balanced', 'C': 100}",,22-03-2021 19-31-14,
toy_pairwise_svm_large_cooc_all_de,toy,de,pairwise,baseline,cooc,svm,large,True,de,0.8437147538890425,,"{'class_weight': 'balanced', 'C': 1}",,22-03-2021 20-07-53,
toy_pairwise_svm_large_cooc_all_en,toy,de,pairwise,baseline,cooc,svm,large,True,en,0.34179251837495883,,"{'class_weight': 'balanced', 'C': 1}",,22-03-2021 20-06-56,
toy_pairwise_svm_large_cooc_all_en,toy,en,pairwise,baseline,cooc,svm,large,True,en,0.8253993485276271,,"{'class_weight': 'balanced', 'C': 1}",,22-03-2021 20-06-55,
toy_pairwise_svm_large_cooc_all_en,toy,es,pairwise,baseline,cooc,svm,large,True,en,0.2890566947161247,,"{'class_weight': 'balanced', 'C': 1}",,22-03-2021 20-06-56,
toy_pairwise_svm_large_cooc_all_en,toy,fr,pairwise,baseline,cooc,svm,large,True,en,0.3723481710225704,,"{'class_weight': 'balanced', 'C': 1}",,22-03-2021 20-06-57,
toy_pairwise_svm_large_cooc_all_en-de,toy,de,pairwise,baseline,cooc,svm,large,True,en-de,0.5067361522006281,,"{'class_weight': 'balanced', 'C': 1}",,22-03-2021 20-08-39,
toy_pairwise_svm_large_cooc_all_en-de+de,toy,de,pairwise,baseline,cooc,svm,large,True,"en-de, de",0.8414668000040135,,"{'class_weight': 'balanced', 'C': 1}",,22-03-2021 20-12-15,
toy_pairwise_svm_large_cooc_all_en-es,toy,es,pairwise,baseline,cooc,svm,large,True,en-es,0.6095460863575841,,"{'class_weight': 'balanced', 'C': 1}",,22-03-2021 20-09-44,
toy_pairwise_svm_large_cooc_all_en-fr,toy,fr,pairwise,baseline,cooc,svm,large,True,en-fr,0.6877254939626107,,"{'class_weight': 'balanced', 'C': 1}",,22-03-2021 20-10-51,
toy_pairwise_svm_large_cooc_title_en-de,toy,de,pairwise,baseline,cooc,svm,large,False,en-de,0.7163028413028413,,"{'class_weight': 'balanced', 'C': 1}",,22-03-2021 20-23-46,
toy_pairwise_svm_large_cooc_title_en-de+de,toy,de,pairwise,baseline,cooc,svm,large,False,"en-de, de",0.7954503345342254,,"{'class_weight': 'balanced', 'C': 1}",,22-03-2021 20-25-26,
toy_pairwise_svm_large_cooc_title_en-es,toy,es,pairwise,baseline,cooc,svm,large,False,en-es,0.6442754513627829,,"{'class_weight': 'balanced', 'C': 10}",,22-03-2021 20-24-16,
toy_pairwise_svm_large_cooc_title_en-fr,toy,fr,pairwise,baseline,cooc,svm,large,False,en-fr,0.6296296296296297,,"{'class_weight': 'balanced', 'C': 1}",,22-03-2021 20-24-44,
toy_pairwise_svm_large_magellan_all_de,toy,de,pairwise,baseline,magellan,svm,large,True,de,0.6343389013546082,,"{'class_weight': 'balanced', 'C': 100}",,22-03-2021 20-17-16,
toy_pairwise_svm_large_magellan_all_en,toy,de,pairwise,baseline,magellan,svm,large,True,en,0.6023532966003105,,"{'class_weight': 'balanced', 'C': 0.01}",,22-03-2021 20-16-27,
toy_pairwise_svm_large_magellan_all_en,toy,en,pairwise,baseline,magellan,svm,large,True,en,0.6293956916376733,,"{'class_weight': 'balanced', 'C': 0.01}",,22-03-2021 20-16-25,
toy_pairwise_svm_large_magellan_all_en,toy,es,pairwise,baseline,magellan,svm,large,True,en,0.5001075526174672,,"{'class_weight': 'balanced', 'C': 0.01}",,22-03-2021 20-16-29,
toy_pairwise_svm_large_magellan_all_en,toy,fr,pairwise,baseline,magellan,svm,large,True,en,0.4732678963074821,,"{'class_weight': 'balanced', 'C': 0.01}",,22-03-2021 20-16-31,
toy_pairwise_svm_large_magellan_all_en-de,toy,de,pairwise,baseline,magellan,svm,large,True,en-de,0.6377840909090908,,"{'class_weight': 'balanced', 'C': 10}",,22-03-2021 20-17-49,
toy_pairwise_svm_large_magellan_all_en-de+de,toy,de,pairwise,baseline,magellan,svm,large,True,"en-de, de",0.6390892947833636,,"{'class_weight': 'balanced', 'C': 1}",,22-03-2021 20-19-59,
toy_pairwise_svm_large_magellan_all_en-es,toy,es,pairwise,baseline,magellan,svm,large,True,en-es,0.4913301274844653,,"{'class_weight': 'balanced', 'C': 0.1}",,22-03-2021 20-18-30,
toy_pairwise_svm_large_magellan_all_en-fr,toy,fr,pairwise,baseline,magellan,svm,large,True,en-fr,0.473396390739878,,"{'class_weight': 'balanced', 'C': 0.1}",,22-03-2021 20-19-12,
toy_pairwise_svm_large_magellan_title_de,toy,de,pairwise,baseline,magellan,svm,large,False,de,0.7316152564809995,,"{'class_weight': 'balanced', 'C': 100}",,22-03-2021 20-28-24,
toy_pairwise_svm_large_magellan_title_en,toy,de,pairwise,baseline,magellan,svm,large,False,en,0.647818430835453,,"{'class_weight': 'balanced', 'C': 100}",,22-03-2021 20-27-54,
toy_pairwise_svm_large_magellan_title_en,toy,en,pairwise,baseline,magellan,svm,large,False,en,0.5942904114856548,,"{'class_weight': 'balanced', 'C': 100}",,22-03-2021 20-27-53,
toy_pairwise_svm_large_magellan_title_en,toy,es,pairwise,baseline,magellan,svm,large,False,en,0.6581313687861909,,"{'class_weight': 'balanced', 'C': 100}",,22-03-2021 20-27-56,
toy_pairwise_svm_large_magellan_title_en,toy,fr,pairwise,baseline,magellan,svm,large,False,en,0.6329852591564915,,"{'class_weight': 'balanced', 'C': 100}",,22-03-2021 20-27-58,
toy_pairwise_svm_large_magellan_title_en-de,toy,de,pairwise,baseline,magellan,svm,large,False,en-de,0.5990106022468482,,"{'class_weight': 'balanced', 'C': 10}",,22-03-2021 20-28-49,
toy_pairwise_svm_large_magellan_title_en-de+de,toy,de,pairwise,baseline,magellan,svm,large,False,"en-de, de",0.6840152954914936,,"{'class_weight': 'balanced', 'C': 10}",,22-03-2021 20-30-13,
toy_pairwise_svm_large_magellan_title_en-es,toy,es,pairwise,baseline,magellan,svm,large,False,en-es,0.5318970173438157,,"{'class_weight': 'balanced', 'C': 0.001}",,22-03-2021 20-29-13,
toy_pairwise_svm_large_magellan_title_en-fr,toy,fr,pairwise,baseline,magellan,svm,large,False,en-fr,0.5371607256416722,,"{'class_weight': 'balanced', 'C': 0.001}",,22-03-2021 20-29-35,
toy_pairwise_svm_small_cooc_all_de,toy,de,pairwise,baseline,cooc,svm,small,True,de,0.8297550364135061,,"{'class_weight': 'balanced', 'C': 1}",,22-03-2021 20-03-46,
toy_pairwise_svm_small_cooc_all_en,toy,de,pairwise,baseline,cooc,svm,small,True,en,0.2859507528624756,,"{'class_weight': 'balanced', 'C': 1}",,22-03-2021 20-03-15,
toy_pairwise_svm_small_cooc_all_en,toy,en,pairwise,baseline,cooc,svm,small,True,en,0.8211310215267317,,"{'class_weight': 'balanced', 'C': 1}",,22-03-2021 20-03-14,
toy_pairwise_svm_small_cooc_all_en,toy,es,pairwise,baseline,cooc,svm,small,True,en,0.265138154027043,,"{'class_weight': 'balanced', 'C': 1}",,22-03-2021 20-03-15,
toy_pairwise_svm_small_cooc_all_en,toy,fr,pairwise,baseline,cooc,svm,small,True,en,0.2217603290574945,,"{'class_weight': 'balanced', 'C': 1}",,22-03-2021 20-03-15,
toy_pairwise_svm_small_cooc_all_en-de,toy,de,pairwise,baseline,cooc,svm,small,True,en-de,0.221152834138298,,"{'class_weight': 'balanced', 'C': 0.1}",,22-03-2021 20-04-10,
toy_pairwise_svm_small_cooc_all_en-de+de,toy,de,pairwise,baseline,cooc,svm,small,True,"en-de, de",0.8120108153057068,,"{'class_weight': 'balanced', 'C': 1}",,22-03-2021 20-05-59,
toy_pairwise_svm_small_cooc_all_en-es,toy,es,pairwise,baseline,cooc,svm,small,True,en-es,0.5666895092983019,,"{'class_weight': 'balanced', 'C': 1}",,22-03-2021 20-04-44,
toy_pairwise_svm_small_cooc_all_en-fr,toy,fr,pairwise,baseline,cooc,svm,small,True,en-fr,0.6732393521745321,,"{'class_weight': 'balanced', 'C': 1}",,22-03-2021 20-05-18,
toy_pairwise_svm_small_cooc_title_en-de,toy,de,pairwise,baseline,cooc,svm,small,False,en-de,0.6610449735449736,,"{'class_weight': 'balanced', 'C': 100}",,22-03-2021 20-22-31,
toy_pairwise_svm_small_cooc_title_en-de+de,toy,de,pairwise,baseline,cooc,svm,small,False,"en-de, de",0.7735342704004138,,"{'class_weight': 'balanced', 'C': 1}",,22-03-2021 20-23-19,
toy_pairwise_svm_small_cooc_title_en-es,toy,es,pairwise,baseline,cooc,svm,small,False,en-es,0.5644444444444445,,"{'class_weight': 'balanced', 'C': 100}",,22-03-2021 20-22-46,
toy_pairwise_svm_small_cooc_title_en-fr,toy,fr,pairwise,baseline,cooc,svm,small,False,en-fr,0.5973337632553944,,"{'class_weight': 'balanced', 'C': 10}",,22-03-2021 20-23-00,
toy_pairwise_svm_small_magellan_all_de,toy,de,pairwise,baseline,magellan,svm,small,True,de,0.6410173433025652,,"{'class_weight': 'balanced', 'C': 0.001}",,22-03-2021 20-14-09,
toy_pairwise_svm_small_magellan_all_en,toy,de,pairwise,baseline,magellan,svm,small,True,en,0.6180730180249128,,"{'class_weight': 'balanced', 'C': 0.1}",,22-03-2021 20-13-34,
toy_pairwise_svm_small_magellan_all_en,toy,en,pairwise,baseline,magellan,svm,small,True,en,0.6228064942107564,,"{'class_weight': 'balanced', 'C': 0.1}",,22-03-2021 20-13-33,
toy_pairwise_svm_small_magellan_all_en,toy,es,pairwise,baseline,magellan,svm,small,True,en,0.5032868916797488,,"{'class_weight': 'balanced', 'C': 0.1}",,22-03-2021 20-13-36,
toy_pairwise_svm_small_magellan_all_en,toy,fr,pairwise,baseline,magellan,svm,small,True,en,0.4797228839782031,,"{'class_weight': 'balanced', 'C': 0.1}",,22-03-2021 20-13-38,
toy_pairwise_svm_small_magellan_all_en-de,toy,de,pairwise,baseline,magellan,svm,small,True,en-de,0.6403035487125499,,"{'class_weight': 'balanced', 'C': 1}",,22-03-2021 20-14-30,
toy_pairwise_svm_small_magellan_all_en-de+de,toy,de,pairwise,baseline,magellan,svm,small,True,"en-de, de",0.639527429251763,,"{'class_weight': 'balanced', 'C': 10}",,22-03-2021 20-15-48,
toy_pairwise_svm_small_magellan_all_en-es,toy,es,pairwise,baseline,magellan,svm,small,True,en-es,0.4926695488446238,,"{'class_weight': 'balanced', 'C': 0.1}",,22-03-2021 20-14-54,
toy_pairwise_svm_small_magellan_all_en-fr,toy,fr,pairwise,baseline,magellan,svm,small,True,en-fr,0.4784574985411398,,"{'class_weight': 'balanced', 'C': 0.01}",,22-03-2021 20-15-20,
toy_pairwise_svm_small_magellan_title_de,toy,de,pairwise,baseline,magellan,svm,small,False,de,0.5726191324168388,,"{'class_weight': 'balanced', 'C': 100}",,22-03-2021 20-26-21,
toy_pairwise_svm_small_magellan_title_en,toy,de,pairwise,baseline,magellan,svm,small,False,en,0.585018352360827,,"{'class_weight': 'balanced', 'C': 100}",,22-03-2021 20-26-01,
toy_pairwise_svm_small_magellan_title_en,toy,en,pairwise,baseline,magellan,svm,small,False,en,0.4966835492662076,,"{'class_weight': 'balanced', 'C': 100}",,22-03-2021 20-25-59,
toy_pairwise_svm_small_magellan_title_en,toy,es,pairwise,baseline,magellan,svm,small,False,en,0.5850694444444444,,"{'class_weight': 'balanced', 'C': 100}",,22-03-2021 20-26-02,
toy_pairwise_svm_small_magellan_title_en,toy,fr,pairwise,baseline,magellan,svm,small,False,en,0.5160802500252042,,"{'class_weight': 'balanced', 'C': 100}",,22-03-2021 20-26-04,
toy_pairwise_svm_small_magellan_title_en-de,toy,de,pairwise,baseline,magellan,svm,small,False,en-de,0.6139678306525543,,"{'class_weight': 'balanced', 'C': 100}",,22-03-2021 20-26-37,
toy_pairwise_svm_small_magellan_title_en-de+de,toy,de,pairwise,baseline,magellan,svm,small,False,"en-de, de",0.6373054040028383,,"{'class_weight': 'balanced', 'C': 10}",,22-03-2021 20-27-25,
toy_pairwise_svm_small_magellan_title_en-es,toy,es,pairwise,baseline,magellan,svm,small,False,en-es,0.5305212083991938,,"{'class_weight': 'balanced', 'C': 0.001}",,22-03-2021 20-26-51,
toy_pairwise_svm_small_magellan_title_en-fr,toy,fr,pairwise,baseline,magellan,svm,small,False,en-fr,0.5263977843171197,,"{'class_weight': 'balanced', 'C': 0.01}",,22-03-2021 20-27-05,
